SAFETY_SCORE,YEAR,TOTAL_MILES_DONE,BATTERY_HEALTH,TYRE_PRESSURE,FUEL_LEVEL,OIL_LEVEL
50,2005,30058,AVERAGE,31,66,37
53,2020,75486,GOOD,32,74,36
52,2010,31306,AVERAGE,30,2,97
61,2014,27055,AVERAGE,30,21,43
98,2005,99783,GOOD,31,0,75
50,2020,43183,GOOD,31,0,68
50,2020,14745,GOOD,32,39,31
54,2007,5220,AVERAGE,32,98,98
75,2005,99145,AVERAGE,34,1,58
61,2011,62816,GOOD,30,43,37
59,2005,34813,AVERAGE,33,59,0
83,2009,66130,AVERAGE,34,10,85
61,2005,99783,GOOD,33,54,46
88,2005,99783,GOOD,31,98,77
63,2013,5220,AVERAGE,31,8,0
50,2016,66230,AVERAGE,34,98,0
56,2008,5220,GOOD,33,0,83
98,2013,5220,AVERAGE,31,54,55
79,2005,41033,GOOD,32,0,95
90,2005,87273,AVERAGE,30,83,61
50,2020,55933,GOOD,31,67,41
57,2012,51690,GOOD,33,98,45
67,2020,28557,GOOD,30,51,98
77,2009,61263,AVERAGE,31,98,98
84,2005,46538,AVERAGE,34,35,98
66,2013,70336,AVERAGE,32,65,64
50,2008,99783,GOOD,32,0,21
80,2005,75658,AVERAGE,34,67,31
84,2007,5220,AVERAGE,34,91,77
59,2011,70639,GOOD,33,12,98
50,2005,63054,AVERAGE,32,0,98
50,2005,24643,AVERAGE,34,23,98
81,2009,10609,AVERAGE,31,5,0
98,2017,5220,AVERAGE,31,5,0
90,2020,5220,AVERAGE,34,0,76
98,2007,38332,AVERAGE,33,10,56
78,2005,5220,GOOD,30,0,35
56,2012,6618,AVERAGE,31,4,50
50,2012,5220,GOOD,30,46,74
55,2005,69287,AVERAGE,33,98,35
68,2006,99783,AVERAGE,30,0,56
83,2011,14967,AVERAGE,30,0,98
53,2005,74177,AVERAGE,33,98,47
50,2005,26245,AVERAGE,31,15,53
60,2005,5220,AVERAGE,31,0,98
56,2005,5220,GOOD,30,0,77
65,2009,5220,AVERAGE,33,0,98
55,2011,40652,AVERAGE,34,14,0
90,2005,5220,AVERAGE,31,50,22
60,2005,5220,GOOD,31,82,0
98,2011,47694,AVERAGE,30,0,69
98,2005,70643,GOOD,30,0,98
50,2008,83201,GOOD,31,80,97
98,2005,5220,AVERAGE,34,98,98
98,2020,25134,AVERAGE,30,0,62
54,2020,5220,GOOD,30,41,0
96,2018,16586,AVERAGE,30,0,98
78,2013,95327,AVERAGE,30,66,98
60,2011,24889,GOOD,31,20,98
67,2014,54258,AVERAGE,30,43,11
77,2020,45707,AVERAGE,33,0,98
50,2005,47965,AVERAGE,30,55,76
60,2011,37341,GOOD,34,2,86
98,2019,22163,AVERAGE,30,53,98
76,2013,5220,AVERAGE,31,0,98
53,2006,39350,GOOD,31,20,98
66,2020,67155,AVERAGE,34,0,98
90,2010,5220,GOOD,30,0,72
54,2005,21369,GOOD,31,69,98
84,2017,21715,AVERAGE,32,0,27
98,2019,30447,AVERAGE,34,0,0
98,2005,55879,AVERAGE,30,0,98
58,2010,5220,AVERAGE,31,17,3
50,2020,45448,AVERAGE,32,0,98
98,2009,47298,AVERAGE,30,98,98
96,2011,5220,AVERAGE,30,0,58
75,2012,72970,GOOD,32,98,72
81,2010,5220,AVERAGE,30,98,0
98,2005,5220,AVERAGE,30,68,13
84,2020,5220,GOOD,31,98,20
98,2005,15291,AVERAGE,31,12,98
92,2015,37141,AVERAGE,32,78,98
60,2009,81652,AVERAGE,30,40,98
92,2006,69687,AVERAGE,31,0,93
61,2008,5220,AVERAGE,33,58,98
98,2010,5330,AVERAGE,32,0,88
55,2005,40050,AVERAGE,33,98,23
50,2011,99783,AVERAGE,34,98,71
98,2005,23379,AVERAGE,31,0,98
50,2016,62432,GOOD,34,62,98
52,2005,5220,AVERAGE,32,1,60
50,2012,20874,AVERAGE,34,65,77
94,2008,77896,AVERAGE,33,0,98
81,2014,5220,AVERAGE,32,3,3
98,2012,5434,GOOD,30,0,41
68,2014,5220,GOOD,30,98,95
90,2005,99783,GOOD,32,3,98
55,2013,14380,AVERAGE,32,58,76
98,2015,5220,AVERAGE,32,0,64
98,2010,68802,AVERAGE,32,0,98
86,2015,5220,AVERAGE,31,4,0
80,2005,60837,AVERAGE,34,0,76
71,2020,51450,AVERAGE,32,98,84
82,2005,44776,GOOD,31,62,53
98,2009,20100,AVERAGE,34,0,81
51,2005,52114,AVERAGE,30,49,98
50,2006,74202,GOOD,30,40,37
93,2005,5220,AVERAGE,30,4,83
98,2005,90455,AVERAGE,34,0,92
50,2020,34316,GOOD,34,98,45
77,2011,5220,GOOD,30,54,49
81,2010,61642,GOOD,32,44,98
98,2005,88994,AVERAGE,32,0,84
74,2020,5220,AVERAGE,32,0,71
73,2014,22293,GOOD,30,40,59
52,2011,5220,AVERAGE,33,88,98
67,2011,99783,GOOD,30,4,21
50,2010,99783,GOOD,31,52,80
83,2014,91380,GOOD,34,37,98
86,2005,23867,AVERAGE,32,0,5
50,2020,5220,GOOD,34,98,78
77,2005,99783,AVERAGE,34,96,41
77,2008,15660,AVERAGE,33,47,74
86,2005,61512,GOOD,34,68,98
55,2008,21850,AVERAGE,33,86,0
50,2005,53125,AVERAGE,34,98,7
91,2008,5220,GOOD,34,98,98
66,2020,20572,AVERAGE,30,17,98
98,2006,75369,AVERAGE,32,39,90
52,2007,17853,GOOD,33,98,43
74,2017,66559,AVERAGE,33,0,84
51,2008,15461,AVERAGE,34,44,62
83,2009,29907,GOOD,34,4,98
98,2005,50940,AVERAGE,31,0,25
87,2005,99783,GOOD,30,39,31
50,2005,99783,GOOD,30,98,98
74,2020,72104,GOOD,33,86,86
93,2014,89211,AVERAGE,32,9,76
72,2013,5220,AVERAGE,30,0,0
50,2005,5220,AVERAGE,34,5,36
77,2006,5220,AVERAGE,31,98,67
50,2011,22973,GOOD,33,56,84
98,2011,64979,AVERAGE,32,94,72
98,2005,42909,AVERAGE,31,94,36
82,2005,83999,GOOD,33,0,85
59,2012,99783,AVERAGE,31,56,98
53,2014,5220,GOOD,32,6,25
68,2020,30436,AVERAGE,33,98,21
72,2005,46006,GOOD,31,31,72
89,2009,53060,AVERAGE,32,98,66
98,2020,94588,GOOD,32,0,98
98,2005,48245,AVERAGE,30,0,98
97,2020,77154,AVERAGE,30,42,98
63,2007,5220,AVERAGE,33,40,36
84,2009,6685,AVERAGE,32,0,4
59,2009,47441,AVERAGE,30,0,70
64,2018,42279,GOOD,34,98,98
98,2005,5220,AVERAGE,32,0,0
71,2012,5220,GOOD,32,15,31
82,2011,50027,AVERAGE,33,39,98
98,2005,5220,GOOD,30,41,98
61,2020,5220,GOOD,32,50,0
50,2007,51989,AVERAGE,33,0,98
82,2007,63898,AVERAGE,30,29,0
95,2014,5220,AVERAGE,30,1,98
89,2005,43119,AVERAGE,33,0,98
84,2005,5220,AVERAGE,33,0,0
78,2006,50259,AVERAGE,33,65,54
50,2005,65660,GOOD,33,98,98
50,2010,62192,GOOD,30,98,98
76,2005,5220,GOOD,31,0,79
60,2005,70746,AVERAGE,34,68,90
98,2005,5220,AVERAGE,34,0,98
55,2020,52136,AVERAGE,33,98,98
98,2013,5220,GOOD,32,24,36
78,2014,5220,AVERAGE,31,42,19
50,2011,99783,AVERAGE,34,81,98
87,2005,36776,GOOD,33,32,0
63,2005,99783,GOOD,34,51,56
50,2020,71956,GOOD,31,69,39
50,2005,81613,AVERAGE,31,98,98
98,2005,26245,AVERAGE,30,0,98
98,2005,79827,AVERAGE,30,37,98
84,2012,10918,AVERAGE,31,1,58
83,2005,5220,GOOD,30,14,63
50,2005,5220,GOOD,32,82,78
92,2012,41655,GOOD,31,74,0
77,2013,8491,AVERAGE,30,55,0
98,2005,57673,AVERAGE,33,11,98
73,2005,95946,GOOD,31,74,82
80,2020,5220,AVERAGE,32,0,53
85,2013,99783,GOOD,33,30,98
50,2010,45949,AVERAGE,32,52,92
50,2009,5220,AVERAGE,30,0,52
66,2009,10631,GOOD,32,20,98
55,2005,5220,GOOD,30,23,75
68,2007,99783,AVERAGE,30,80,49
63,2020,55195,GOOD,30,6,69
98,2009,5220,AVERAGE,34,0,79
71,2005,21448,AVERAGE,31,0,79
73,2020,35345,AVERAGE,32,6,84
50,2014,5220,AVERAGE,32,98,81
78,2020,40767,AVERAGE,30,98,36
62,2005,5220,GOOD,33,32,62
98,2014,39392,AVERAGE,32,34,98
91,2011,9290,AVERAGE,32,0,98
59,2008,28165,AVERAGE,34,25,76
63,2005,5220,GOOD,32,0,0
50,2005,5220,AVERAGE,33,45,38
98,2005,8295,AVERAGE,34,59,64
50,2020,37030,GOOD,34,85,0
53,2005,5220,AVERAGE,33,69,75
98,2020,5220,AVERAGE,32,25,86
64,2020,5220,AVERAGE,33,0,45
70,2012,26148,AVERAGE,32,0,82
94,2005,26376,GOOD,33,69,98
74,2009,50953,GOOD,32,98,78
98,2005,5220,AVERAGE,32,0,49
50,2014,5220,AVERAGE,30,48,65
98,2005,82667,AVERAGE,32,59,94
56,2017,99783,AVERAGE,30,0,98
62,2014,5220,AVERAGE,34,0,87
52,2005,19863,AVERAGE,31,0,45
98,2015,5220,AVERAGE,31,98,98
50,2019,26572,AVERAGE,34,0,98
80,2005,6543,AVERAGE,30,98,56
58,2014,96109,AVERAGE,30,30,26
71,2005,5220,GOOD,33,19,60
69,2005,36142,GOOD,32,96,82
71,2008,25026,AVERAGE,32,53,49
56,2017,5220,GOOD,34,5,67
98,2005,5220,AVERAGE,31,8,14
50,2013,5220,AVERAGE,30,5,47
50,2005,5220,AVERAGE,34,8,98
84,2007,29737,AVERAGE,30,34,98
86,2020,16086,AVERAGE,31,98,33
55,2008,25287,AVERAGE,31,0,12
84,2005,99783,AVERAGE,32,70,98
53,2005,99783,AVERAGE,32,49,70
83,2013,28617,GOOD,33,0,80
87,2008,5220,AVERAGE,31,21,38
50,2014,19895,GOOD,31,0,98
51,2005,84444,GOOD,30,82,82
50,2012,49707,GOOD,32,25,98
98,2011,5220,AVERAGE,33,6,98
52,2009,39977,AVERAGE,30,0,84
73,2005,99783,AVERAGE,30,13,81
50,2012,25554,AVERAGE,34,49,98
98,2007,99783,AVERAGE,30,0,98
81,2012,5220,AVERAGE,30,0,98
78,2013,99783,AVERAGE,30,98,94
50,2005,5220,AVERAGE,33,49,98
69,2005,56171,AVERAGE,30,65,56
90,2011,5220,AVERAGE,30,0,33
98,2005,99783,AVERAGE,30,0,86
59,2005,30242,AVERAGE,31,94,74
60,2017,28193,GOOD,30,98,98
85,2008,5220,GOOD,32,27,73
67,2006,22026,GOOD,30,11,98
50,2020,99783,AVERAGE,31,98,51
98,2010,5220,GOOD,31,53,98
59,2008,47340,AVERAGE,31,60,95
98,2005,99783,AVERAGE,33,20,98
74,2005,19193,AVERAGE,31,47,21
79,2005,36075,GOOD,30,0,79
98,2015,90334,AVERAGE,32,98,98
80,2012,5220,AVERAGE,32,24,98
89,2016,5220,AVERAGE,30,98,42
85,2008,11899,GOOD,33,53,98
60,2020,99315,AVERAGE,31,68,98
72,2020,56516,AVERAGE,34,8,98
98,2016,5220,AVERAGE,33,0,98
58,2020,90762,AVERAGE,34,98,98
96,2017,23687,AVERAGE,30,28,23
50,2014,5220,AVERAGE,34,54,28
50,2005,24861,AVERAGE,32,31,90
66,2006,99783,GOOD,32,45,98
71,2013,38231,AVERAGE,33,57,68
75,2013,5220,GOOD,31,33,25
64,2006,79079,AVERAGE,32,98,71
98,2005,29606,AVERAGE,31,62,91
58,2005,29649,AVERAGE,34,24,24
57,2015,99783,AVERAGE,30,55,73
72,2006,20391,AVERAGE,33,21,0
79,2005,20377,AVERAGE,33,30,61
50,2009,28607,AVERAGE,34,11,98
61,2012,94794,AVERAGE,30,83,58
90,2016,5220,AVERAGE,31,98,46
98,2020,26789,GOOD,34,0,95
61,2005,99783,AVERAGE,31,98,98
91,2011,84412,GOOD,30,34,88
89,2005,83716,GOOD,32,59,98
50,2005,5220,AVERAGE,30,1,88
98,2005,35195,AVERAGE,31,0,98
85,2009,5220,AVERAGE,31,0,80
50,2005,5220,AVERAGE,31,68,48
79,2005,38335,AVERAGE,30,98,95
61,2016,99783,AVERAGE,30,98,0
56,2016,70898,AVERAGE,33,23,82
88,2008,27007,AVERAGE,30,2,98
86,2005,5220,AVERAGE,30,2,98
98,2005,30240,GOOD,32,44,8
98,2008,5220,AVERAGE,33,0,98
53,2014,99783,AVERAGE,30,31,98
57,2007,5220,GOOD,30,98,0
71,2011,10437,GOOD,30,63,0
56,2005,35328,AVERAGE,32,33,85
98,2020,5220,AVERAGE,30,34,94
50,2017,44486,AVERAGE,34,65,0
50,2016,86665,GOOD,30,76,46
66,2005,5220,GOOD,31,69,0
50,2013,66170,AVERAGE,30,34,98
50,2019,21981,AVERAGE,31,9,7
50,2005,69446,AVERAGE,34,83,29
50,2020,32335,GOOD,32,68,56
50,2006,37058,AVERAGE,32,95,27
52,2006,5220,AVERAGE,31,54,0
98,2020,40054,AVERAGE,30,0,79
98,2017,83176,GOOD,31,98,92
71,2005,47107,AVERAGE,31,6,88
87,2016,91429,GOOD,30,40,98
50,2020,5220,AVERAGE,30,59,98
55,2020,37146,AVERAGE,30,29,67
78,2013,58158,AVERAGE,32,65,8
51,2013,21202,AVERAGE,33,42,32
64,2005,99783,AVERAGE,31,48,85
50,2006,22946,AVERAGE,31,29,73
53,2008,31888,AVERAGE,32,85,0
50,2019,68882,GOOD,33,98,98
50,2013,29654,GOOD,31,98,52
67,2012,5220,GOOD,32,96,59
98,2020,14304,GOOD,31,10,50
50,2005,61554,GOOD,34,24,41
50,2005,5220,GOOD,30,43,98
98,2019,82381,GOOD,30,64,98
98,2012,24881,GOOD,30,19,98
50,2007,5220,AVERAGE,31,7,98
98,2005,5220,AVERAGE,32,0,98
56,2005,80714,GOOD,30,50,98
92,2015,24684,AVERAGE,32,70,0
51,2010,43729,AVERAGE,31,22,0
62,2020,5220,AVERAGE,30,19,48
50,2005,35332,GOOD,31,98,52
64,2020,82803,AVERAGE,30,1,98
88,2012,5220,AVERAGE,32,98,83
50,2009,5220,AVERAGE,34,0,98
62,2013,87287,GOOD,33,3,98
98,2020,85599,AVERAGE,30,98,60
77,2020,99783,AVERAGE,34,9,98
93,2005,5220,AVERAGE,30,0,82
50,2020,56482,AVERAGE,33,0,90
98,2006,50242,AVERAGE,34,16,73
60,2011,99783,AVERAGE,32,58,75
50,2014,90965,GOOD,30,98,0
50,2014,45245,GOOD,32,42,67
59,2005,5220,AVERAGE,31,98,0
53,2020,5220,GOOD,30,59,72
50,2020,99783,AVERAGE,31,0,79
98,2020,5220,GOOD,32,26,98
53,2019,91373,GOOD,34,35,0
84,2013,5220,AVERAGE,31,51,98
57,2005,26315,GOOD,30,0,75
98,2013,6203,GOOD,32,7,98
64,2005,52947,AVERAGE,30,0,98
60,2005,87328,AVERAGE,32,38,98
98,2007,96708,AVERAGE,32,0,98
61,2008,9905,AVERAGE,31,42,24
52,2005,34339,AVERAGE,31,9,29
65,2005,27218,AVERAGE,31,45,83
52,2009,5220,GOOD,32,32,14
76,2005,43301,AVERAGE,34,28,60
69,2005,48830,AVERAGE,34,21,98
56,2013,5220,GOOD,32,45,86
87,2008,5220,GOOD,33,98,28
76,2007,79793,AVERAGE,30,98,38
91,2009,23998,GOOD,33,48,26
71,2005,45465,AVERAGE,32,7,70
75,2005,5220,GOOD,30,48,98
50,2011,58841,AVERAGE,32,41,98
58,2005,16460,AVERAGE,32,23,98
88,2006,5220,AVERAGE,34,0,98
50,2005,40940,AVERAGE,32,16,84
84,2014,25782,AVERAGE,34,2,98
94,2011,5220,AVERAGE,30,5,98
72,2014,21164,GOOD,31,50,56
53,2012,91161,AVERAGE,30,98,58
50,2005,21694,AVERAGE,32,54,61
58,2008,99783,GOOD,33,67,39
71,2020,66953,GOOD,31,98,81
69,2009,78996,AVERAGE,30,25,66
83,2016,29000,AVERAGE,32,98,41
50,2005,20916,AVERAGE,31,58,55
50,2014,5220,AVERAGE,34,52,69
50,2005,47828,GOOD,34,19,84
98,2005,87144,AVERAGE,32,7,98
97,2013,31301,GOOD,33,23,70
50,2005,32046,AVERAGE,30,98,15
50,2012,99783,AVERAGE,30,9,72
52,2005,29784,GOOD,30,98,60
50,2020,5220,AVERAGE,31,64,22
93,2005,62816,AVERAGE,31,0,12
74,2020,5220,AVERAGE,31,31,98
94,2015,99783,AVERAGE,32,97,98
72,2012,5220,GOOD,32,37,98
82,2012,20944,AVERAGE,30,34,29
50,2005,5220,AVERAGE,32,0,86
88,2005,6048,GOOD,31,0,69
88,2005,49056,AVERAGE,34,0,98
73,2005,7527,AVERAGE,34,84,67
65,2013,81157,AVERAGE,31,98,72
84,2020,35344,AVERAGE,30,98,54
50,2005,5220,AVERAGE,33,78,98
97,2005,26984,GOOD,32,98,98
50,2005,16796,AVERAGE,33,22,56
71,2010,8183,GOOD,32,46,98
98,2013,5220,AVERAGE,31,0,79
63,2005,86288,GOOD,32,37,98
74,2020,66522,AVERAGE,30,19,98
56,2010,5220,GOOD,32,98,0
57,2005,57224,AVERAGE,31,98,75
60,2005,29861,AVERAGE,30,0,78
98,2006,83879,GOOD,31,5,76
98,2011,99783,AVERAGE,33,31,98
77,2005,60222,AVERAGE,32,21,98
85,2005,99783,AVERAGE,34,18,45
60,2005,55468,AVERAGE,31,54,96
51,2011,5220,AVERAGE,30,63,68
50,2007,99774,AVERAGE,34,56,98
78,2005,28692,AVERAGE,31,21,82
55,2005,32912,AVERAGE,30,5,98
51,2016,99783,GOOD,34,66,22
59,2010,5220,AVERAGE,30,42,33
75,2005,20992,GOOD,32,98,81
77,2020,84833,AVERAGE,34,27,98
75,2020,7865,AVERAGE,31,98,0
53,2012,5220,AVERAGE,32,98,54
84,2009,46324,GOOD,32,33,98
50,2005,99783,AVERAGE,34,28,0
82,2005,58302,AVERAGE,34,94,76
54,2005,16405,GOOD,34,98,88
59,2015,66044,GOOD,31,16,98
70,2020,5220,AVERAGE,32,7,60
50,2005,5220,AVERAGE,34,82,82
90,2011,53181,AVERAGE,31,65,56
98,2020,5220,GOOD,31,47,91
98,2005,5220,GOOD,34,0,98
68,2012,59455,GOOD,30,4,70
98,2013,52349,AVERAGE,32,0,98
68,2020,5220,GOOD,32,0,77
50,2011,5220,AVERAGE,32,68,72
69,2007,23633,AVERAGE,30,0,60
50,2016,5220,AVERAGE,34,87,57
50,2011,5220,GOOD,34,0,80
75,2005,54525,AVERAGE,34,61,98
98,2005,64579,GOOD,31,20,72
71,2005,5220,GOOD,32,12,98
50,2013,99783,AVERAGE,34,98,87
61,2005,5220,GOOD,33,47,98
98,2018,45891,AVERAGE,31,0,83
81,2006,24776,AVERAGE,31,98,16
98,2005,25798,AVERAGE,32,0,19
88,2010,5220,GOOD,30,0,75
98,2005,73570,GOOD,32,24,98
91,2010,84007,AVERAGE,30,50,60
69,2019,37125,GOOD,32,63,75
92,2005,5220,AVERAGE,31,5,90
61,2005,46915,GOOD,34,0,79
70,2006,72434,AVERAGE,30,0,0
50,2005,21678,AVERAGE,30,0,98
92,2005,31207,AVERAGE,33,53,65
70,2020,5220,AVERAGE,30,0,20
79,2013,22870,GOOD,33,14,85
50,2005,31619,AVERAGE,31,0,98
50,2012,43829,AVERAGE,31,37,83
98,2017,5220,AVERAGE,30,0,98
83,2005,5220,AVERAGE,32,3,83
53,2014,5220,AVERAGE,34,0,98
58,2008,5220,GOOD,31,0,98
50,2005,99783,AVERAGE,31,69,98
50,2020,89770,AVERAGE,32,0,98
79,2020,5220,GOOD,30,6,87
58,2011,67341,GOOD,33,65,98
65,2012,25355,GOOD,34,63,71
51,2006,25289,AVERAGE,30,66,52
98,2008,99783,AVERAGE,31,35,57
54,2011,51069,AVERAGE,32,35,98
50,2008,60636,AVERAGE,34,98,71
79,2007,11658,AVERAGE,31,46,0
81,2020,47742,AVERAGE,30,0,98
98,2010,5220,AVERAGE,30,0,49
51,2006,99783,AVERAGE,33,62,71
50,2006,99783,AVERAGE,32,52,39
50,2013,14622,AVERAGE,30,0,98
82,2005,66189,AVERAGE,33,50,0
56,2020,51045,GOOD,32,0,53
98,2009,29505,AVERAGE,30,85,74
64,2011,70274,GOOD,32,37,54
53,2005,99783,AVERAGE,34,0,76
98,2005,5220,AVERAGE,32,5,18
64,2020,16699,AVERAGE,34,46,52
50,2013,5220,AVERAGE,34,56,10
53,2014,24400,GOOD,33,40,74
98,2005,54673,AVERAGE,31,81,98
63,2012,20070,GOOD,31,51,61
50,2005,99783,AVERAGE,33,68,98
64,2010,71954,GOOD,30,0,44
56,2020,5811,GOOD,32,98,60
62,2006,53657,AVERAGE,30,0,81
98,2005,71886,GOOD,32,2,98
50,2005,99783,AVERAGE,31,98,57
98,2016,99783,GOOD,30,50,85
50,2013,5220,GOOD,30,70,43
50,2005,86384,AVERAGE,34,98,98
97,2015,84817,AVERAGE,31,66,69
73,2008,78351,GOOD,31,98,98
50,2005,5220,AVERAGE,32,1,16
68,2005,5220,AVERAGE,32,98,77
95,2005,99783,GOOD,32,28,98
92,2019,73636,AVERAGE,31,98,98
58,2005,5220,GOOD,32,33,76
65,2005,84209,AVERAGE,33,17,98
73,2005,56980,AVERAGE,32,98,44
85,2005,74888,AVERAGE,32,39,63
98,2018,29394,AVERAGE,30,0,72
72,2020,92494,AVERAGE,30,44,93
54,2014,99783,AVERAGE,30,53,98
88,2005,12734,AVERAGE,33,0,98
63,2018,5220,AVERAGE,34,13,21
50,2013,13960,GOOD,31,0,98
54,2018,50610,GOOD,31,98,66
82,2005,78293,GOOD,30,36,69
98,2020,34471,GOOD,30,41,85
50,2016,5220,AVERAGE,31,53,74
98,2007,23013,AVERAGE,31,59,46
50,2009,71628,AVERAGE,32,35,71
55,2008,5220,GOOD,30,58,26
50,2006,5220,GOOD,31,55,61
51,2020,5220,GOOD,33,98,37
55,2020,5220,AVERAGE,30,53,28
52,2013,25287,GOOD,30,50,0
71,2005,78423,GOOD,31,56,17
50,2020,81270,GOOD,30,63,98
56,2012,5220,AVERAGE,30,98,56
50,2005,38085,AVERAGE,34,98,98
98,2005,5220,AVERAGE,34,98,80
50,2008,14697,GOOD,32,0,80
69,2012,41569,AVERAGE,30,74,0
54,2013,5220,AVERAGE,30,67,80
83,2012,99783,GOOD,30,40,82
63,2012,89045,AVERAGE,31,98,98
52,2020,22659,AVERAGE,32,0,73
50,2005,71582,AVERAGE,30,35,92
89,2020,5220,GOOD,33,0,97
50,2005,90219,AVERAGE,34,77,76
50,2020,5220,AVERAGE,34,34,98
71,2005,17287,AVERAGE,32,98,17
98,2005,74999,AVERAGE,30,98,67
65,2005,5220,GOOD,34,0,80
69,2011,5220,AVERAGE,33,98,0
83,2005,46312,GOOD,34,88,61
68,2012,5220,AVERAGE,33,98,98
50,2005,45102,GOOD,31,56,79
76,2020,20596,GOOD,30,98,98
50,2005,82054,AVERAGE,34,98,98
61,2013,13219,GOOD,31,3,80
98,2016,54815,AVERAGE,32,1,15
61,2009,5220,AVERAGE,30,55,82
98,2012,31450,AVERAGE,33,0,86
98,2005,26846,AVERAGE,31,57,98
98,2005,64201,AVERAGE,34,98,0
80,2020,28598,AVERAGE,31,17,83
50,2005,99783,AVERAGE,33,19,55
69,2020,5220,AVERAGE,33,14,84
69,2005,83276,AVERAGE,32,8,77
50,2014,27608,GOOD,34,15,98
98,2016,22340,AVERAGE,30,0,65
50,2009,99783,GOOD,30,79,98
98,2005,99783,AVERAGE,31,76,98
91,2005,38562,AVERAGE,32,0,76
98,2020,99783,AVERAGE,31,39,70
89,2005,62181,AVERAGE,30,42,98
69,2012,5220,AVERAGE,34,63,80
61,2015,60629,AVERAGE,31,63,19
55,2007,92357,GOOD,30,66,75
61,2017,5269,AVERAGE,31,50,66
98,2013,5220,GOOD,31,51,98
98,2017,5220,GOOD,30,0,71
86,2005,99783,AVERAGE,33,59,75
50,2005,47076,AVERAGE,34,0,98
58,2005,27536,AVERAGE,30,15,98
53,2010,12886,AVERAGE,30,0,98
59,2008,33355,GOOD,34,26,98
92,2005,5220,AVERAGE,33,54,40
78,2013,24570,AVERAGE,31,60,72
79,2020,52565,AVERAGE,33,9,53
50,2016,19592,GOOD,31,70,49
88,2019,94701,AVERAGE,30,0,83
84,2005,89101,AVERAGE,32,35,98
62,2008,78218,AVERAGE,33,0,55
79,2005,22488,AVERAGE,30,46,98
70,2011,8520,GOOD,31,49,0
54,2020,5220,GOOD,34,46,0
50,2009,14273,GOOD,30,14,0
55,2014,79295,AVERAGE,34,50,84
92,2005,99783,AVERAGE,30,9,98
76,2005,99783,AVERAGE,31,98,98
98,2007,24554,AVERAGE,30,25,98
83,2005,46205,GOOD,33,77,40
52,2011,5220,AVERAGE,30,98,68
86,2012,5220,GOOD,31,12,35
98,2005,73085,AVERAGE,34,0,92
75,2015,78129,GOOD,31,64,0
65,2005,71156,GOOD,33,0,48
52,2020,99783,GOOD,34,98,49
98,2005,78424,GOOD,34,0,46
98,2005,99783,AVERAGE,34,98,98
50,2011,76004,AVERAGE,34,2,20
54,2014,73899,AVERAGE,30,60,21
95,2005,5220,AVERAGE,33,0,0
79,2016,57031,AVERAGE,33,3,89
86,2018,9253,GOOD,33,19,40
76,2005,5220,AVERAGE,34,45,98
50,2013,99783,AVERAGE,32,70,98
98,2013,18999,AVERAGE,30,41,98
84,2020,56496,AVERAGE,31,0,95
98,2010,58682,GOOD,32,0,48
77,2005,5220,GOOD,34,17,76
76,2007,33233,GOOD,31,17,98
90,2005,64635,AVERAGE,34,68,29
86,2008,5220,AVERAGE,31,0,71
57,2005,24645,GOOD,33,33,0
89,2007,5220,AVERAGE,30,16,43
97,2014,15382,AVERAGE,30,69,36
50,2005,14658,AVERAGE,32,66,0
56,2013,90013,AVERAGE,31,27,98
80,2005,83481,AVERAGE,30,23,27
51,2010,5220,AVERAGE,33,21,63
79,2009,28594,AVERAGE,30,39,85
83,2005,5220,AVERAGE,30,0,0
50,2012,85164,AVERAGE,33,44,98
98,2009,43862,AVERAGE,30,12,98
60,2005,35812,AVERAGE,30,98,98
62,2007,5220,AVERAGE,33,98,68
96,2006,9168,AVERAGE,34,0,78
97,2012,39161,GOOD,31,0,98
98,2005,40693,GOOD,32,92,98
63,2018,6571,GOOD,30,0,71
58,2008,5220,GOOD,31,98,26
93,2013,99783,AVERAGE,33,55,80
55,2014,85972,AVERAGE,32,87,98
98,2005,86817,GOOD,30,0,85
50,2020,75845,AVERAGE,30,2,30
52,2016,18859,AVERAGE,33,59,0
64,2007,5220,AVERAGE,30,0,98
81,2010,35754,GOOD,33,35,98
52,2013,99783,AVERAGE,31,72,98
69,2007,20496,GOOD,31,50,98
63,2005,22263,AVERAGE,34,0,58
81,2012,39293,AVERAGE,31,15,98
73,2007,12099,AVERAGE,34,1,78
75,2005,97466,AVERAGE,34,0,98
86,2007,72048,AVERAGE,32,0,98
57,2013,86137,AVERAGE,30,98,32
76,2005,11556,AVERAGE,30,0,75
62,2020,5220,AVERAGE,31,90,49
86,2005,71503,GOOD,32,40,48
50,2016,5220,AVERAGE,30,14,83
98,2006,5220,AVERAGE,34,0,98
85,2006,19816,AVERAGE,30,0,72
81,2018,95898,GOOD,30,63,71
92,2005,5220,AVERAGE,33,98,94
80,2005,31529,GOOD,30,23,98
78,2005,70265,AVERAGE,30,69,76
67,2010,84458,GOOD,30,18,67
71,2007,5220,AVERAGE,34,0,54
98,2005,33191,AVERAGE,33,0,98
82,2005,20621,AVERAGE,32,10,72
50,2005,5220,GOOD,31,0,14
54,2005,5220,AVERAGE,31,0,9
68,2005,33605,GOOD,34,4,98
50,2013,81724,AVERAGE,33,25,69
50,2020,5220,AVERAGE,32,66,7
69,2005,64838,AVERAGE,34,49,83
54,2020,21279,GOOD,30,92,0
