AGE,NUMBER_OF_TRIPS,TOTAL_MILES_DONE,SPEEDING,SEATBELT,SAFETY_SCORE
47,877,276858,74,72,45
30,13,236443,8,0,45
39,122,244979,11,2,45
54,993,575308,49,71,47
54,251,397029,0,74,45
37,993,92817,0,57,45
20,927,6478,0,0,69
54,384,619116,30,60,51
28,993,589612,29,1,45
25,320,144482,7,69,45
54,952,6478,35,74,45
37,13,676513,17,51,53
39,716,675055,2,74,45
18,115,950016,8,74,54
38,680,55405,67,74,83
23,120,552425,0,52,67
54,23,275999,60,65,98
28,993,999370,52,28,98
46,993,399904,55,53,49
18,13,506444,26,53,50
44,13,6478,0,74,60
42,139,472150,38,0,45
49,13,292759,7,62,75
30,993,6478,33,67,77
41,993,6478,19,74,45
48,68,295381,32,74,48
33,580,673580,48,70,46
39,605,323243,9,74,45
40,13,707643,52,67,98
49,429,167974,12,60,71
19,993,153912,7,62,69
33,322,6478,11,71,45
27,107,999370,74,19,96
26,993,264901,9,74,45
18,669,999370,74,72,45
43,993,521333,0,74,45
33,269,640057,43,40,45
18,993,674559,25,27,66
33,34,301777,50,67,57
24,13,755325,43,20,87
46,518,88816,68,67,62
48,539,6478,52,66,88
54,166,6478,6,74,49
49,676,321353,32,3,45
40,13,581271,26,17,71
54,348,121192,7,52,58
54,13,999370,41,74,45
48,177,542814,54,44,74
48,13,105286,50,74,98
35,993,510603,34,28,45
26,392,625283,0,67,45
27,808,726082,31,74,45
37,102,79845,58,53,83
54,993,6478,50,74,83
54,852,313682,20,49,76
29,662,999370,70,28,45
39,711,854654,74,65,45
35,845,6478,30,74,68
18,487,172927,15,38,45
20,13,484058,0,74,75
18,135,999370,34,0,45
41,46,209023,0,62,81
54,993,503036,71,9,75
54,308,814941,10,24,66
31,691,6478,26,62,45
54,265,259589,6,74,57
37,736,720858,0,35,45
20,993,584960,74,65,45
30,110,6478,74,58,55
20,13,430792,47,74,64
47,993,128391,0,30,77
24,757,643694,1,26,45
42,481,268320,74,0,45
35,344,84511,35,74,73
18,993,553326,18,45,45
54,993,14823,58,65,49
40,65,571383,5,57,60
30,572,633926,54,0,72
42,558,6478,15,74,56
54,13,353091,46,0,79
33,679,665570,26,0,45
40,13,14555,74,74,69
35,648,197168,12,39,63
38,993,999370,0,33,60
36,13,329061,0,74,55
29,269,999370,13,74,55
45,756,131254,6,45,45
35,374,700820,49,0,69
44,430,6478,0,74,45
36,239,6478,45,4,98
18,13,312103,0,74,45
18,342,321766,51,30,45
27,75,6478,7,74,61
29,116,806515,0,74,58
44,91,510142,12,56,48
21,145,218086,0,73,61
39,993,6478,74,74,73
54,265,6478,21,74,61
35,82,729714,10,38,45
54,13,999370,7,9,45
35,297,519321,35,65,77
54,543,639429,71,74,45
39,738,127429,57,74,45
51,13,662031,0,74,45
18,378,199475,51,41,96
18,993,999370,74,35,74
50,166,86046,6,74,80
35,13,999370,34,74,70
42,172,246245,23,74,46
47,993,999370,25,57,50
36,30,611914,0,70,45
54,569,526202,57,0,71
47,13,167959,24,0,45
38,448,6478,0,49,45
45,13,625456,42,74,45
18,40,6478,19,71,53
51,993,999370,74,53,64
27,199,699067,59,43,45
18,726,587544,31,42,45
40,505,26025,6,74,67
35,654,356728,0,65,45
39,467,212944,74,0,85
20,993,244460,49,64,45
54,738,242639,74,74,45
39,702,999370,74,74,45
30,726,6478,66,46,45
24,13,943542,62,35,98
52,680,478965,33,59,78
31,768,521781,20,24,45
54,13,25047,25,74,75
43,948,6478,15,74,98
26,13,249966,21,64,45
35,13,999370,6,74,71
54,67,414030,15,64,98
54,435,84723,43,60,64
46,993,999370,44,55,58
30,60,134722,74,42,95
47,354,999370,74,0,70
54,13,562971,6,0,62
36,634,281725,53,27,80
37,190,6478,9,69,45
18,456,355494,0,0,52
49,993,583458,66,74,46
24,725,445112,35,71,70
54,99,301678,30,62,74
18,99,6478,0,74,98
43,69,6478,59,39,51
54,993,699768,74,73,45
18,993,6478,65,74,45
48,575,999370,0,30,45
48,247,736197,65,0,76
27,717,558852,68,51,92
54,30,539053,8,35,45
54,624,389629,26,29,56
36,196,999370,14,49,45
18,757,631344,0,14,45
54,63,6478,8,0,52
18,694,118025,0,29,45
18,13,115436,50,0,91
18,993,598105,16,36,45
27,149,6478,8,0,45
42,363,6478,74,74,45
47,419,6478,0,74,68
48,690,589364,55,50,69
54,414,6478,41,62,45
54,101,6478,14,67,93
40,674,309264,32,74,45
46,993,151769,74,58,61
36,405,6478,35,54,61
54,261,156940,74,18,78
38,516,194724,74,65,45
19,654,348855,29,0,66
42,993,621882,54,65,45
54,940,6478,37,0,88
20,13,633933,3,22,45
54,993,6478,38,74,45
32,13,106644,17,68,60
54,198,156630,36,74,67
32,993,6478,74,74,45
19,277,598917,22,74,45
40,239,999370,27,27,57
54,616,624943,8,74,62
53,13,183752,28,19,72
18,993,686724,74,67,45
29,635,582884,9,36,62
40,993,999370,13,72,75
45,39,12226,0,13,68
30,89,493635,0,67,47
18,834,999370,0,37,83
54,791,349435,67,74,77
54,13,310869,39,0,45
48,993,6478,70,68,76
54,298,173966,28,53,50
38,13,326512,14,5,45
46,686,98467,54,74,55
32,19,644003,33,74,77
18,993,6478,48,56,45
38,639,700896,33,42,45
18,993,653573,30,74,45
45,13,999370,12,58,57
54,276,329695,36,72,62
45,13,6478,53,74,78
37,37,659156,55,26,67
40,236,6478,7,74,77
54,615,999370,74,0,53
54,993,710045,0,0,45
43,228,962192,7,52,45
54,913,339588,0,38,89
45,993,270246,39,44,45
18,188,218609,19,41,70
54,648,605193,16,42,46
54,421,317212,16,74,91
44,34,6478,22,74,45
24,600,170125,48,74,45
47,313,460405,24,21,54
21,993,999370,51,62,45
37,386,6478,42,48,82
30,993,748233,0,47,45
39,13,6478,0,74,45
54,106,6478,74,28,45
48,310,999370,22,74,45
18,13,766324,23,69,45
43,693,999370,53,43,56
50,330,890001,69,74,45
27,532,6478,40,40,62
37,204,690523,48,5,45
54,681,6478,29,74,65
54,993,208815,38,40,45
38,698,311866,58,59,72
21,763,581688,49,0,45
54,993,6478,37,67,98
18,993,196077,74,64,65
54,214,65443,18,74,78
46,13,471886,40,74,98
40,311,999370,12,27,45
23,255,999370,46,62,71
54,993,603859,57,23,61
54,13,6478,55,34,97
18,175,753125,42,73,75
44,324,393465,33,74,45
54,841,148660,0,74,45
24,154,6478,30,31,45
46,13,463382,74,74,45
54,226,999370,36,46,67
40,137,613102,0,74,62
25,993,576289,0,41,48
54,713,999370,54,17,45
35,253,689755,0,67,45
47,305,709341,0,74,69
18,13,708813,0,74,45
47,993,848746,74,73,69
37,650,6478,74,62,69
22,281,999370,7,23,75
42,13,98059,0,57,45
54,13,6478,0,74,45
54,13,401265,71,59,46
36,589,178915,44,74,45
28,993,200576,26,60,54
54,139,429918,0,61,45
42,415,6478,57,42,98
47,143,6478,31,28,88
18,651,421087,27,0,65
51,670,6478,42,57,68
42,507,639824,33,50,85
43,488,361111,2,74,45
36,67,6478,22,35,45
29,951,637521,74,74,45
26,857,999370,74,38,67
49,287,771752,39,54,59
46,122,999370,9,72,67
30,13,419516,0,74,68
32,497,987352,36,30,80
37,904,654502,14,64,68
54,13,214181,0,35,60
18,993,369379,68,57,45
32,55,70850,0,74,72
46,111,117764,0,71,45
54,13,496870,54,65,63
43,993,782762,74,39,88
31,716,931888,31,68,45
18,13,806074,0,8,78
28,519,6478,22,52,51
54,615,171435,64,74,98
46,497,599923,32,59,45
33,838,529199,25,0,69
24,392,999370,11,53,45
18,247,329101,31,60,45
26,993,6478,42,48,45
44,993,999370,44,35,45
54,13,6478,11,0,45
54,81,653581,9,16,45
18,319,536068,58,74,98
23,635,815532,0,74,47
54,92,6478,0,47,80
54,196,184007,23,54,45
18,229,6478,13,72,45
18,718,6478,33,67,76
54,993,153214,33,10,45
54,739,6478,47,46,54
54,502,531341,73,67,45
20,266,174548,32,69,45
43,476,697187,13,39,76
48,100,6478,0,74,45
36,993,560975,74,60,60
18,376,503443,19,61,46
29,13,6478,34,39,60
30,13,677827,0,35,45
44,725,194775,29,39,72
54,124,6478,64,74,73
54,427,6478,39,54,49
18,969,657867,74,0,76
31,993,89133,32,74,45
26,533,999370,30,74,45
54,993,6478,74,74,86
23,482,999370,8,0,45
20,13,317347,10,64,45
54,993,619590,15,33,45
29,623,774648,28,74,45
26,772,6478,74,74,57
42,112,645693,0,74,91
46,323,6478,68,63,87
44,993,739032,25,74,56
54,13,999370,42,23,75
54,993,85975,0,74,45
18,13,723971,0,0,52
23,275,691616,34,50,64
54,13,296106,0,74,67
46,13,579846,0,14,61
54,993,95941,32,67,67
54,171,457014,0,74,79
47,575,643200,15,0,49
54,215,52603,18,74,68
18,856,667241,50,45,45
18,993,725709,74,74,45
48,993,999370,51,0,45
47,13,6478,28,50,60
18,928,707690,45,26,45
45,993,495903,0,74,59
28,993,385991,38,68,45
54,568,6478,9,74,45
44,218,999370,50,41,50
22,993,429305,54,22,72
54,573,6478,74,0,71
34,574,740154,32,71,45
47,993,6478,74,0,98
54,39,585319,0,41,56
37,389,155355,74,74,45
18,452,501408,6,20,77
18,601,524963,24,74,62
18,633,504444,1,72,45
41,385,999370,70,40,47
36,993,721715,70,7,45
54,415,999370,0,54,45
18,739,276549,0,0,45
39,576,999370,7,49,45
18,655,678837,47,63,85
41,993,999370,53,74,45
38,993,300389,0,72,45
36,67,569147,10,74,50
23,13,999370,17,0,66
30,16,151799,16,43,66
52,993,572598,74,62,52
54,324,119870,0,50,52
54,71,358045,37,48,75
31,72,84937,20,67,45
30,883,20555,72,20,74
27,924,594041,31,69,45
45,13,999370,0,28,69
18,13,338253,24,74,67
54,617,89219,59,52,67
35,49,651304,0,20,45
39,619,251949,39,0,80
54,993,866785,52,74,45
47,900,6478,64,40,71
37,993,733736,50,74,69
54,993,6478,0,74,45
18,912,454090,20,74,57
44,83,121748,0,74,59
54,465,6478,10,54,56
18,335,563853,22,74,45
25,85,635383,24,0,45
54,993,427731,17,9,45
27,609,618021,7,61,45
42,37,999370,0,70,75
32,370,364498,69,22,66
46,85,6478,53,64,98
18,326,563375,35,74,45
46,657,6478,4,56,62
54,993,412030,74,64,79
54,627,999370,36,31,45
29,993,280708,67,4,66
18,993,999370,53,0,45
54,13,468522,16,52,45
54,599,539427,25,0,45
18,13,321909,74,60,67
54,605,6478,36,74,77
42,110,6478,53,6,45
18,993,436260,6,74,60
34,475,6478,74,66,56
45,993,77676,74,74,45
18,95,443739,21,0,64
54,993,6478,74,74,98
32,246,956142,45,74,98
18,338,463276,32,55,72
40,121,573657,8,26,45
53,993,538287,30,74,63
23,607,653889,53,55,46
54,13,190270,22,74,60
45,13,719332,13,44,45
47,362,6478,0,74,98
31,963,999370,0,57,89
38,411,344276,64,42,71
33,491,330085,30,44,84
23,13,640851,0,26,45
18,993,835799,6,52,45
18,375,478577,9,25,60
18,13,420924,20,0,66
27,72,62834,6,25,45
42,343,6478,3,74,45
44,159,393610,44,74,93
42,190,6478,20,63,48
54,880,208371,22,74,63
38,13,424926,43,0,98
54,536,999370,49,74,62
41,13,315058,29,74,45
41,269,78601,64,74,79
46,523,691079,62,64,69
18,13,404173,41,41,71
54,13,702546,8,74,61
38,993,999370,38,30,45
29,13,6478,24,63,77
44,366,505231,50,0,74
37,595,999370,60,45,45
18,122,373152,9,74,60
50,78,999370,1,55,77
54,191,371510,0,44,63
42,993,714118,11,58,58
54,13,9529,62,70,45
18,410,999370,26,0,64
34,635,776681,21,74,45
33,152,999370,7,0,45
48,288,6478,0,74,45
18,13,657522,0,0,45
37,380,92789,41,74,45
47,13,578641,52,0,69
20,13,180228,0,65,45
18,162,999370,22,74,98
18,993,715551,57,74,56
54,480,752915,8,74,73
30,48,370245,31,54,74
23,265,550301,11,52,45
46,993,188513,58,0,47
22,993,373515,66,26,86
54,85,6478,32,74,45
42,95,6478,27,74,45
40,300,409290,0,74,45
54,993,198236,43,70,70
18,13,999370,0,74,62
54,572,621564,7,0,45
54,357,999370,28,68,49
54,83,999370,37,11,84
44,993,6478,28,69,45
48,993,872340,74,40,66
47,993,252687,32,45,45
54,806,598919,49,64,53
19,471,497213,39,30,69
47,139,373741,8,74,58
54,36,64600,59,0,47
20,463,697769,32,74,66
54,312,895476,32,74,70
41,993,6478,53,55,45
45,13,6478,18,74,79
38,19,659155,0,0,51
27,198,6478,15,74,45
18,13,264527,33,74,98
23,207,6478,57,74,82
42,231,999370,34,37,62
25,402,6478,37,74,45
25,34,650012,8,74,72
51,697,585573,21,51,45
36,13,6478,0,56,45
30,746,217394,74,23,45
32,489,999370,16,51,98
26,993,999370,36,40,45
33,13,200205,21,74,55
18,22,561012,38,58,76
46,125,305230,38,74,45
26,993,999370,66,0,45
35,993,419967,42,38,45
46,993,6478,38,74,45
36,993,157882,34,74,55
54,993,373092,3,57,98
32,13,154435,74,74,98
54,13,6478,46,74,45
54,505,6478,63,42,72
36,477,6478,0,0,75
52,224,127037,19,74,75
54,13,6478,8,73,60
26,637,835824,53,33,86
27,590,6478,49,68,79
47,13,477869,34,24,75
28,13,710420,31,74,45
39,159,181846,13,74,64
54,13,776817,0,40,45
18,97,592509,31,71,45
20,993,714510,56,31,45
27,13,6478,74,74,65
44,28,198095,0,74,45
28,261,406682,36,74,72
18,401,70349,56,74,98
43,228,6478,44,74,45
47,993,927366,56,54,77
28,489,959230,0,33,47
36,302,6478,43,47,53
37,993,6478,74,72,45
35,705,504987,0,61,60
42,170,655814,53,74,98
48,13,930684,12,74,66
43,532,999370,74,74,90
40,194,695341,0,74,45
18,32,438025,54,58,50
48,260,615278,0,42,45
46,993,23307,67,74,45
51,699,240884,74,58,45
47,691,6478,49,70,48
51,51,428310,61,74,45
54,550,676901,56,0,66
41,40,712684,65,74,70
47,48,605719,28,67,53
45,712,9648,41,61,48
35,643,6478,38,74,63
54,458,6478,0,55,70
40,13,348928,24,62,45
47,890,622732,39,15,45
54,438,6478,64,45,63
54,375,547061,21,22,45
18,143,480026,14,74,45
21,456,999370,54,74,45
41,585,999370,37,74,53
26,309,82737,33,74,78
48,851,6478,59,74,45
38,457,627971,25,8,64
54,375,6478,28,33,62
54,569,6478,18,74,45
29,13,666537,0,74,66
54,136,658587,12,53,45
47,993,287529,0,9,70
45,814,418385,55,45,84
18,13,6478,0,74,45
32,724,461858,73,52,45
33,485,6478,28,74,45
40,993,6478,45,74,46
49,57,999370,0,56,76
47,579,6478,0,74,67
46,991,6478,74,64,88
44,650,821256,13,39,76
30,546,600900,0,74,45
54,56,6478,9,74,49
18,345,308605,66,40,76
26,280,560183,0,42,62
54,107,789556,0,74,45
19,993,10826,74,74,82
18,448,178832,13,74,45
32,28,557425,14,74,67
18,33,239614,44,74,98
18,853,208975,0,71,45
54,993,662070,74,66,45
47,993,106471,39,74,60
42,993,999370,0,1,67
54,246,890996,18,74,82
25,270,656589,0,74,45
54,993,548851,28,43,45
47,409,6478,0,56,98
54,13,6478,48,74,57
45,516,999370,0,74,45
54,13,643765,8,74,45
40,13,999370,69,46,77
18,13,508192,10,56,45
41,13,999370,39,21,53
39,416,375684,24,74,45
54,178,785267,1,45,45
45,993,945462,74,47,45
45,13,501449,40,74,74
54,328,999370,74,68,45
22,80,695399,29,74,45
42,993,635144,0,0,45
35,27,999370,13,0,93
42,230,28901,0,74,94
23,993,999370,16,27,70
40,428,229161,33,74,45
18,674,999370,14,63,69
54,13,6478,74,74,91
18,830,795803,21,74,75
33,258,428530,0,74,58
20,541,525643,68,50,45
41,680,73619,46,74,98
18,13,473383,0,66,60
18,993,437889,47,63,45
18,993,798262,9,74,45
53,13,637978,47,74,47
50,993,6478,12,74,45
18,57,627292,0,23,45
18,373,544150,52,74,64
47,726,200559,4,59,45
54,199,560790,43,37,45
47,993,604292,49,0,45
54,993,310987,14,74,45
43,891,635400,74,24,53
48,396,6478,74,37,75
37,148,652178,50,41,73
39,233,999370,0,40,45
23,772,129732,40,0,53
38,993,6478,10,74,45
39,13,789447,24,60,58
54,993,239988,54,74,45
34,734,714535,69,74,45
27,13,571329,25,0,68
50,133,735956,41,47,45
43,13,246772,14,73,82
46,513,657803,36,74,98
47,822,495818,65,0,45
43,13,23980,6,62,50
30,651,722857,66,21,60
29,331,6478,21,60,60
45,680,6478,45,74,46
43,662,130492,33,47,46
46,406,215215,0,74,98
54,363,6478,0,8,45
18,709,647988,74,74,45
54,993,20381,0,74,45
40,993,41832,0,74,45
26,163,163166,7,74,45
18,609,124748,13,60,61
47,111,576338,41,67,81
54,570,314937,58,74,45
18,13,6478,6,74,88
45,235,6478,0,25,98
40,435,455432,51,61,45
45,51,531494,0,11,80
18,13,426293,22,29,55
54,13,650349,50,61,98
18,115,545658,0,0,64
48,390,353124,0,0,77
29,13,999370,22,66,45
54,228,82655,19,5,45
47,380,84488,0,44,66
54,993,416853,74,23,45
18,418,603475,17,74,45
54,637,999370,62,0,60
45,678,6478,21,53,54
18,225,737023,62,41,45
54,390,999370,32,0,45
18,13,6478,2,72,45
21,530,999370,30,74,56
54,587,576931,35,51,59
35,993,6478,61,68,45
34,433,310886,25,74,75
47,705,970120,53,2,65
18,530,6478,16,66,45
27,850,722385,0,40,45
42,54,457846,47,74,62
54,13,6478,49,74,65
33,13,293528,17,67,85
26,697,309432,19,69,45
54,686,15260,44,46,57
52,33,785713,0,74,45
54,993,21375,40,74,79
47,303,999370,53,74,57
47,335,6478,51,74,45
23,13,999370,29,27,45
36,605,226708,29,52,45
42,736,161410,28,0,72
28,205,6478,48,70,46
34,971,6478,36,74,45
36,13,999370,0,48,45
18,247,351502,40,66,48
46,443,246018,11,40,45
43,993,623107,43,26,63
18,18,821181,24,55,60
44,210,999370,15,67,93
46,13,526124,31,61,45
18,712,386249,0,51,64
54,13,999370,23,27,71
39,95,725076,23,23,45
41,912,7148,53,0,46
20,874,568303,74,68,70
54,518,150539,46,14,77
54,411,192622,31,22,98
48,431,671928,28,0,45
54,328,354022,22,74,68
18,13,507921,0,42,62
43,146,944190,26,39,77
48,176,713577,29,71,45
48,973,234375,15,29,45
42,906,140485,0,74,45
30,13,492487,46,0,45
18,116,698606,27,61,45
38,32,96585,0,74,63
18,382,443657,25,74,45
54,13,474458,51,42,58
34,13,479540,58,58,45
43,767,638853,0,36,45
54,993,204909,74,70,98
19,544,585090,33,40,45
47,13,6478,27,74,45
18,13,999370,0,23,89
18,13,540218,55,74,45
40,128,6478,74,67,86
54,401,6478,27,74,59
44,993,426281,0,74,45
46,76,546041,0,31,45
34,308,19161,25,63,67
54,13,591292,2,74,45
54,13,24469,14,50,64
41,108,6478,37,74,98
48,706,409449,0,18,88
53,909,196179,74,56,47
18,58,194100,18,74,45
18,993,999370,74,3,45
46,190,325332,9,74,56
22,993,999370,71,55,45
54,33,6478,70,5,75
25,993,722747,19,38,45
54,13,288440,14,74,64
54,13,519643,7,74,60
26,704,581790,29,74,45
43,563,431044,66,74,98
54,144,702617,74,0,64
34,357,911066,5,10,87
43,482,222025,41,74,77
44,805,360945,21,16,60
18,13,198568,0,74,61
46,390,679044,56,74,57
46,402,125173,11,28,72
48,13,517220,74,74,45
18,13,611928,27,50,45
18,810,999370,74,50,45
41,13,321984,0,69,88
54,598,999370,74,74,78
46,916,446547,0,74,98
54,768,374020,42,46,45
49,271,508926,11,25,45
44,23,999370,43,66,45
26,516,569754,14,74,68
45,178,364539,44,29,66
18,43,999370,31,0,66
18,444,420497,33,74,98
54,88,615997,0,74,52
54,13,6478,38,52,62
18,598,709874,32,69,72
29,821,713593,70,74,45
25,13,999370,10,0,58
45,13,569798,2,74,98
42,106,702225,31,0,90
40,993,671744,44,69,71
54,13,6478,21,74,78
27,316,6478,0,71,45
54,993,613706,74,64,77
18,527,240069,0,67,98
54,217,6478,0,63,77
44,13,824206,41,60,45
31,664,570959,74,74,98
54,105,243186,43,45,64
45,611,766151,47,56,79
44,993,437818,16,55,73
54,993,999370,48,51,45
31,13,216704,51,74,45
54,110,298836,19,33,82
38,13,996873,46,24,69
46,688,414239,31,59,46
48,125,6478,29,72,82
54,777,701719,22,55,45
54,717,999370,15,64,45
41,13,578015,27,74,45
42,273,915641,0,4,65
34,247,999370,0,0,63
54,58,166832,5,35,45
35,993,6478,41,64,69
37,513,664807,24,66,72
47,993,6478,0,74,45
54,13,212171,22,10,45
48,520,922088,74,41,63
47,993,6478,32,61,45
31,13,564809,41,47,45
45,421,690577,74,74,45
29,598,417779,27,74,49
54,729,241706,45,68,45
18,13,635671,7,0,45
41,13,127508,9,74,71
54,439,303659,0,50,45
41,993,583283,64,37,55
47,687,483771,74,19,65
42,791,6478,52,0,45
48,993,211596,0,34,45
18,672,570628,53,66,45
31,832,577076,74,49,60
54,993,93025,0,46,54
48,993,53044,71,74,45
54,120,399535,39,74,51
48,313,6478,27,60,75
30,53,6478,0,22,55
44,13,616220,74,0,90
21,41,535410,0,74,84
32,993,6478,49,73,45
26,985,476181,12,48,45
43,13,999370,30,49,77
54,705,247602,20,74,45
42,539,219510,0,53,60
54,371,337906,29,73,98
18,993,691824,27,37,45
31,338,297696,48,32,45
54,13,585495,0,64,45
24,13,13146,0,74,89
49,652,999370,20,51,68
37,568,6478,46,73,98
38,50,105096,22,74,58
54,703,6478,70,0,59
42,993,6478,17,74,45
43,827,885181,11,29,59
37,13,999370,74,0,93
18,993,777239,64,62,46
50,993,6478,22,61,98
18,664,6478,59,74,82
46,80,179117,74,0,63
45,48,516146,5,6,45
41,933,232407,53,0,56
54,13,325849,26,74,49
18,993,713706,0,0,45
45,223,999370,48,74,71
27,420,708272,40,49,63
45,109,556146,26,74,58
54,436,6478,11,74,82
18,675,999370,74,74,45
33,965,118393,4,39,50
54,378,212212,11,74,64
48,993,196843,49,54,46
18,608,983594,45,25,98
54,993,356033,50,35,45
31,13,534615,0,74,63
54,724,6478,0,74,97
46,13,6478,0,68,75
45,208,979262,50,69,47
54,750,6478,48,74,52
24,725,165394,31,74,64
40,923,685536,39,58,79
54,109,82831,47,74,75
31,554,689517,0,0,62
19,637,561389,0,54,45
30,537,972553,0,74,45
42,118,509295,74,0,97
29,735,882181,74,74,62
48,361,6478,16,74,77
54,140,6478,54,33,68
54,13,6478,0,59,45
54,993,316712,59,2,50
32,993,722104,41,0,45
18,64,650827,51,29,45
54,435,6478,11,56,63
46,228,231308,32,69,68
34,993,520495,74,74,73
45,904,6478,34,47,70
54,863,593169,41,74,45
18,97,999370,32,74,60
42,930,687144,73,74,45
18,736,30314,27,74,45
42,732,635302,74,74,45
54,166,599648,21,26,45
54,216,641521,1,29,69
54,13,6478,0,35,45
54,732,6478,16,63,57
41,13,886069,10,46,71
39,13,317306,19,74,68
41,712,378379,44,62,45
18,100,6478,39,74,45
42,993,658582,3,35,71
21,738,480992,74,74,77
18,993,780340,44,67,45
18,542,941841,59,74,45
34,804,6478,0,74,45
43,127,519808,39,63,45
18,28,263010,61,66,76
23,13,686938,45,74,61
38,41,303480,8,74,52
54,993,6478,65,74,45
18,119,716977,22,3,61
54,13,6478,13,36,66
54,648,6478,74,74,74
24,993,554914,54,43,75
47,993,176168,64,71,68
52,993,999370,69,0,66
47,260,252478,7,26,45
18,993,415782,31,74,97
44,595,6478,42,0,50
46,528,778476,18,30,45
54,236,6478,17,0,98
54,786,20547,18,69,64
18,55,556195,52,74,45
54,38,552893,35,0,54
54,155,712554,27,22,45
54,519,999370,74,0,45
46,993,6478,71,74,68
40,547,420637,74,37,75
41,993,137763,51,29,49
18,949,662874,0,74,45
19,993,997784,50,74,46
45,403,518271,52,0,64
54,510,6478,0,74,60
50,242,580478,35,30,45
26,993,604083,72,67,45
18,13,995313,0,38,45
45,993,236128,45,67,85
18,993,700081,54,19,45
36,993,6478,12,71,45
33,415,289627,43,74,86
42,993,6478,73,26,78
54,993,6478,74,27,78
54,993,139141,65,63,84
21,13,704753,74,42,45
31,993,876471,37,45,45
24,13,415781,27,74,51
42,993,798746,33,74,68
34,720,711511,74,74,69
25,416,249193,62,74,61
36,917,129795,74,74,45
21,993,999370,71,74,45
18,471,999370,12,64,45
48,699,139885,41,74,98
44,211,218575,19,54,45
45,66,877000,6,74,45
41,13,506489,50,39,45
46,616,999370,74,0,63
54,13,660212,0,24,70
53,679,537421,74,16,81
18,340,999370,0,0,45
18,993,500244,71,0,45
29,337,143793,0,74,58
18,993,657211,23,66,45
24,993,465544,73,74,45
38,993,6478,35,66,45
41,959,6478,62,60,62
54,418,525992,27,57,47
52,49,872060,2,69,45
18,227,90386,17,52,45
33,559,484958,0,74,73
18,477,612981,74,63,51
18,617,503520,34,74,98
18,122,6478,0,70,49
18,991,663183,0,74,45
40,993,6478,44,74,47
46,665,165344,38,74,46
38,13,6478,0,74,45
24,614,999370,52,55,45
27,13,445650,9,42,45
47,272,498533,71,70,78
52,601,6478,0,74,81
41,213,6478,15,74,45
18,451,700866,0,38,70
45,534,227654,29,74,45
33,993,6478,52,74,74
18,272,210712,44,0,45
44,13,524256,7,5,60
44,57,6478,10,74,45
36,993,496510,71,64,45
18,361,350399,33,29,45
45,989,714293,12,74,77
40,307,163378,20,54,45
39,293,54538,47,22,45
19,613,6478,0,74,45
54,500,6478,74,74,75
52,538,324923,30,0,45
46,993,6478,45,0,98
54,471,6478,63,74,45
35,482,185271,29,72,45
21,220,999370,74,0,45
45,576,6478,28,74,69
42,993,321892,0,58,74
18,931,367119,41,0,62
47,131,10834,0,48,74
37,834,373121,6,74,45
34,709,999370,44,39,75
30,502,316155,37,0,98
19,13,149681,73,43,88
54,993,6478,74,74,68
53,252,865526,64,33,45
36,13,93321,74,74,67
54,83,507362,50,31,45
46,896,703030,39,25,84
21,798,592770,2,9,60
45,633,119056,38,0,45
54,119,31205,22,72,45
36,993,672759,52,74,45
45,507,673991,67,36,62
18,122,370929,21,73,55
46,624,621998,45,20,50
45,67,408151,74,74,72
47,15,342016,37,69,67
18,835,256128,56,67,45
44,993,6478,74,64,53
40,987,782910,30,74,67
26,871,548286,53,51,49
48,963,98778,28,56,86
37,993,539648,22,0,45
18,13,448635,15,61,83
34,718,305009,24,74,45
36,517,577430,23,67,50
37,93,378895,63,64,51
36,993,895567,31,0,71
18,993,688602,29,74,93
45,50,6478,0,9,87
21,13,681571,0,0,45
54,659,999370,74,0,65
19,13,6478,53,3,57
54,552,445913,0,74,64
54,993,6478,34,65,45
21,37,6478,0,74,77
39,370,412770,48,0,45
38,993,6478,33,45,93
39,354,702506,56,74,49
40,993,287315,53,43,45
38,13,460312,49,73,74
44,676,6478,74,0,78
19,564,688694,59,74,45
34,284,480351,70,74,50
25,380,60053,25,74,85
54,13,173107,54,64,78
54,13,73895,24,74,45
18,13,999370,49,63,45
40,357,6478,41,74,72
18,993,699204,74,27,45
18,481,6478,9,74,45
32,13,456860,0,33,45
37,13,495302,18,32,51
47,144,917858,34,31,64
29,13,120790,74,64,45
42,80,327626,35,62,57
28,125,107905,21,0,45
45,993,52489,13,64,98
54,13,53490,74,74,76
54,13,442338,0,74,45
36,115,999370,18,0,60
54,248,6478,8,33,45
54,13,6478,0,34,45
48,495,925489,0,74,49
47,13,528598,0,34,45
36,360,208277,40,74,45
43,993,219021,16,36,45
54,698,802476,33,52,78
47,13,833410,0,74,46
50,13,6478,64,74,76
43,993,48227,0,74,61
23,594,545245,55,74,45
54,993,6478,25,0,58
45,13,6478,34,37,93
39,243,6478,12,47,74
42,651,695378,40,39,45
30,81,106569,38,74,74
18,13,589212,25,74,54
42,13,515262,45,0,64
36,217,231156,22,74,64
38,993,409993,69,2,71
18,13,204380,9,41,48
54,559,131796,41,74,96
47,552,6478,72,74,98
37,206,243418,2,69,45
54,13,88103,39,64,79
54,13,6478,26,15,45
18,419,998996,72,74,49
36,224,715078,14,43,65
37,593,999370,48,45,61
22,13,6478,74,59,98
18,13,641913,16,74,45
54,13,560289,46,18,57
